behavior_type,wall_id,n_observations,n_trajectories,pct_obs
Активный обходчик,W0_0,4,4,0.8
Активный обходчик,W0_119,12,5,2.4
Активный обходчик,W0_126,5,5,1.0
Активный обходчик,W0_127,9,5,1.8
Активный обходчик,W0_13,3,3,0.6
Активный обходчик,W0_130,3,3,0.6
Активный обходчик,W0_131,7,7,1.4
Активный обходчик,W0_132,7,7,1.4
Активный обходчик,W0_134,8,5,1.6
Активный обходчик,W0_138,4,4,0.8
Активный обходчик,W0_139,3,3,0.6
Активный обходчик,W0_147,10,6,2.0
Активный обходчик,W0_148,4,4,0.8
Активный обходчик,W0_152,6,6,1.2
Активный обходчик,W0_153,5,5,1.0
Активный обходчик,W0_156,7,6,1.4
Активный обходчик,W0_159,3,3,0.6
Активный обходчик,W0_160,11,6,2.2
Активный обходчик,W0_161,3,3,0.6
Активный обходчик,W0_162,7,6,1.4
Активный обходчик,W0_163,17,6,3.39
Активный обходчик,W0_164,4,4,0.8
Активный обходчик,W0_165,8,7,1.6
Активный обходчик,W0_170,15,4,2.99
Активный обходчик,W0_171,16,6,3.19
Активный обходчик,W0_176,10,6,2.0
Активный обходчик,W0_177,4,4,0.8
Активный обходчик,W0_183,6,6,1.2
Активный обходчик,W0_184,9,6,1.8
Активный обходчик,W0_187,14,6,2.79
Активный обходчик,W0_188,26,6,5.19
Активный обходчик,W0_192,5,3,1.0
Активный обходчик,W0_195,9,6,1.8
Активный обходчик,W0_198,7,2,1.4
Активный обходчик,W0_199,14,5,2.79
Активный обходчик,W0_2,3,3,0.6
Активный обходчик,W0_200,7,6,1.4
Активный обходчик,W0_201,23,7,4.59
Активный обходчик,W0_203,5,5,1.0
Активный обходчик,W0_204,6,5,1.2
Активный обходчик,W0_208,22,5,4.39
Активный обходчик,W0_209,12,7,2.4
Активный обходчик,W0_214,6,5,1.2
Активный обходчик,W0_221,38,7,7.58
Активный обходчик,W0_222,9,7,1.8
Активный обходчик,W0_223,23,6,4.59
Активный обходчик,W0_227,4,3,0.8
Активный обходчик,W0_228,2,2,0.4
Активный обходчик,W0_232,15,4,2.99
Активный обходчик,W0_234,18,6,3.59
Активный обходчик,W0_45,2,2,0.4
Активный обходчик,W0_47,1,1,0.2
Активный обходчик,W0_49,8,2,1.6
Активный обходчик,W0_51,4,4,0.8
Активный обходчик,W0_54,2,2,0.4
Активный обходчик,W0_58,2,2,0.4
Активный обходчик,W0_71,2,2,0.4
Активный обходчик,W0_93,2,2,0.4
Быстрый,W0_0,9,9,2.41
Быстрый,W0_119,11,7,2.95
Быстрый,W0_126,1,1,0.27
Быстрый,W0_127,12,6,3.22
Быстрый,W0_130,4,4,1.07
Быстрый,W0_131,6,6,1.61
Быстрый,W0_132,5,4,1.34
Быстрый,W0_133,2,2,0.54
Быстрый,W0_134,8,6,2.14
Быстрый,W0_138,4,4,1.07
Быстрый,W0_139,5,5,1.34
Быстрый,W0_147,6,5,1.61
Быстрый,W0_148,5,5,1.34
Быстрый,W0_152,3,3,0.8
Быстрый,W0_153,5,5,1.34
Быстрый,W0_156,5,5,1.34
Быстрый,W0_159,4,4,1.07
Быстрый,W0_160,9,5,2.41
Быстрый,W0_162,5,5,1.34
Быстрый,W0_163,10,3,2.68
Быстрый,W0_164,2,2,0.54
Быстрый,W0_165,4,4,1.07
Быстрый,W0_170,27,11,7.24
Быстрый,W0_171,6,4,1.61
Быстрый,W0_176,2,2,0.54
Быстрый,W0_177,3,3,0.8
Быстрый,W0_183,7,7,1.88
Быстрый,W0_184,4,4,1.07
Быстрый,W0_187,17,9,4.56
Быстрый,W0_188,17,7,4.56
Быстрый,W0_195,1,1,0.27
Быстрый,W0_198,11,6,2.95
Быстрый,W0_199,13,7,3.49
Быстрый,W0_2,2,2,0.54
Быстрый,W0_200,6,6,1.61
Быстрый,W0_201,11,7,2.95
Быстрый,W0_203,7,6,1.88
Быстрый,W0_204,6,6,1.61
Быстрый,W0_208,1,1,0.27
Быстрый,W0_209,9,8,2.41
Быстрый,W0_214,6,6,1.61
Быстрый,W0_221,19,7,5.09
Быстрый,W0_222,15,12,4.02
Быстрый,W0_223,11,6,2.95
Быстрый,W0_227,1,1,0.27
Быстрый,W0_228,7,7,1.88
Быстрый,W0_232,6,4,1.61
Быстрый,W0_234,10,7,2.68
Быстрый,W0_45,4,3,1.07
Быстрый,W0_47,3,3,0.8
Быстрый,W0_49,8,5,2.14
Быстрый,W0_54,5,5,1.34
Быстрый,W0_58,2,2,0.54
Быстрый,W0_71,1,1,0.27
Исследователь,W0_0,9,9,1.21
Исследователь,W0_119,11,7,1.48
Исследователь,W0_126,4,4,0.54
Исследователь,W0_127,13,9,1.75
Исследователь,W0_13,2,2,0.27
Исследователь,W0_130,3,3,0.4
Исследователь,W0_131,6,6,0.81
Исследователь,W0_132,6,5,0.81
Исследователь,W0_133,2,2,0.27
Исследователь,W0_134,15,8,2.02
Исследователь,W0_138,5,5,0.67
Исследователь,W0_139,6,6,0.81
Исследователь,W0_147,14,7,1.89
Исследователь,W0_148,9,8,1.21
Исследователь,W0_152,7,7,0.94
Исследователь,W0_153,9,9,1.21
Исследователь,W0_156,5,5,0.67
Исследователь,W0_159,7,7,0.94
Исследователь,W0_160,17,8,2.29
Исследователь,W0_161,6,5,0.81
Исследователь,W0_162,10,7,1.35
Исследователь,W0_163,18,7,2.43
Исследователь,W0_164,4,3,0.54
Исследователь,W0_165,6,5,0.81
Исследователь,W0_170,26,9,3.51
Исследователь,W0_171,17,5,2.29
Исследователь,W0_176,11,7,1.48
Исследователь,W0_177,4,4,0.54
Исследователь,W0_183,11,8,1.48
Исследователь,W0_184,11,9,1.48
Исследователь,W0_187,27,13,3.64
Исследователь,W0_188,30,7,4.05
Исследователь,W0_192,3,2,0.4
Исследователь,W0_195,13,7,1.75
Исследователь,W0_198,22,6,2.97
Исследователь,W0_199,16,9,2.16
Исследователь,W0_2,1,1,0.13
Исследователь,W0_200,8,8,1.08
Исследователь,W0_201,29,12,3.91
Исследователь,W0_203,7,7,0.94
Исследователь,W0_204,8,7,1.08
Исследователь,W0_208,44,10,5.94
Исследователь,W0_209,17,13,2.29
Исследователь,W0_214,10,7,1.35
Исследователь,W0_221,54,10,7.29
Исследователь,W0_222,17,12,2.29
Исследователь,W0_223,51,10,6.88
Исследователь,W0_227,10,4,1.35
Исследователь,W0_228,5,5,0.67
Исследователь,W0_232,24,8,3.24
Исследователь,W0_234,26,9,3.51
Исследователь,W0_45,5,3,0.67
Исследователь,W0_47,3,3,0.4
Исследователь,W0_49,15,5,2.02
Исследователь,W0_51,3,3,0.4
Исследователь,W0_54,10,10,1.35
Исследователь,W0_58,3,3,0.4
Исследователь,W0_71,4,4,0.54
Исследователь,W0_93,2,2,0.27
Медленный,W0_0,2,2,0.41
Медленный,W0_119,9,4,1.86
Медленный,W0_126,1,1,0.21
Медленный,W0_127,9,6,1.86
Медленный,W0_13,2,2,0.41
Медленный,W0_130,3,3,0.62
Медленный,W0_131,4,3,0.83
Медленный,W0_132,2,2,0.41
Медленный,W0_133,1,1,0.21
Медленный,W0_134,12,8,2.48
Медленный,W0_138,4,4,0.83
Медленный,W0_139,5,5,1.04
Медленный,W0_147,9,4,1.86
Медленный,W0_148,7,7,1.45
Медленный,W0_152,6,5,1.24
Медленный,W0_153,6,6,1.24
Медленный,W0_156,5,5,1.04
Медленный,W0_159,6,5,1.24
Медленный,W0_160,16,8,3.31
Медленный,W0_161,1,1,0.21
Медленный,W0_162,9,6,1.86
Медленный,W0_163,10,6,2.07
Медленный,W0_164,3,2,0.62
Медленный,W0_165,4,4,0.83
Медленный,W0_170,6,2,1.24
Медленный,W0_171,11,6,2.28
Медленный,W0_176,5,4,1.04
Медленный,W0_183,8,7,1.66
Медленный,W0_184,16,7,3.31
Медленный,W0_187,22,9,4.55
Медленный,W0_188,25,5,5.18
Медленный,W0_192,6,4,1.24
Медленный,W0_195,14,5,2.9
Медленный,W0_198,12,6,2.48
Медленный,W0_199,21,9,4.35
Медленный,W0_2,1,1,0.21
Медленный,W0_200,5,5,1.04
Медленный,W0_201,19,9,3.93
Медленный,W0_203,6,6,1.24
Медленный,W0_204,7,5,1.45
Медленный,W0_208,32,6,6.63
Медленный,W0_209,18,10,3.73
Медленный,W0_214,5,4,1.04
Медленный,W0_221,16,4,3.31
Медленный,W0_222,12,10,2.48
Медленный,W0_223,23,5,4.76
Медленный,W0_227,5,2,1.04
Медленный,W0_228,2,2,0.41
Медленный,W0_232,4,3,0.83
Медленный,W0_234,16,5,3.31
Медленный,W0_45,1,1,0.21
Медленный,W0_47,1,1,0.21
Медленный,W0_49,17,7,3.52
Медленный,W0_51,4,4,0.83
Медленный,W0_54,5,5,1.04
Медленный,W0_58,1,1,0.21
Медленный,W0_71,1,1,0.21
