trajectory_id,distwall,zone_area_mean,zone_area_min,zone_area_max,pct_small_zone,pct_large_zone,passage_width_mean,n_points
201902181020,186.9480682976089,1198047.3060621133,323760.68074737914,3300738.02835025,0.32587064676616917,0.25870646766169153,3.1578611228378417,402
201902181200,167.64951226778817,1677845.4319034752,282555.01348953205,3300738.02835025,0.11234177215189874,0.555379746835443,3.4438660208133176,632
201902181210,171.2666852720773,1667628.3036753957,282555.01348953205,3300738.02835025,0.11251980982567353,0.5404120443740095,3.5110856956165137,631
201902181410,166.74566364087696,1323993.2244573869,282555.01348953205,3300738.02835025,0.286634460547504,0.3526570048309179,3.1361292864495742,621
201902181600,209.2523252087157,1505832.2211173165,282555.01348953205,3300738.02835025,0.1493411420204978,0.45241581259150804,3.35456957931008,683
201902181610,162.55242036635985,1356463.1125961735,282555.01348953205,3300738.02835025,0.2890625,0.40625,3.4499937357152834,128
201902201020,157.1591888123026,1776437.40094155,282555.01348953205,3300738.02835025,0.09171597633136094,0.5976331360946746,3.1622127718356428,338
201902201210,210.50493509833743,1556712.0807524298,282555.01348953205,3300738.02835025,0.16173570019723865,0.4911242603550296,3.6138791500710683,507
201902201400,177.87362560536272,1343023.9258330027,282555.01348953205,3300738.02835025,0.19227539882451722,0.42149454240134343,2.9919842067738833,1191
201902201410,179.87984872203717,1376159.4276226696,282555.01348953205,3300738.02835025,0.09507829977628636,0.28859060402684567,2.9093588100937553,894
201902201600,160.46273808569958,1140324.6794323549,282555.01348953205,3300738.02835025,0.2198952879581152,0.2582897033158813,2.7242955328463014,573
201902201610,167.0322792204622,1280002.8864092173,282555.01348953205,3300738.02835025,0.14784394250513347,0.26078028747433263,2.9961461873978217,487
201902211210,158.7641260774725,1418780.7738370886,282555.01348953205,3300738.02835025,0.2235897435897436,0.518974358974359,2.8641491101526397,975
201902211400,190.22298481146623,1300786.2909142154,282555.01348953205,3300738.02835025,0.18683274021352314,0.34519572953736655,2.748119266334668,562
201902211600,226.64502482821592,1479010.4591191332,282555.01348953205,3300738.02835025,0.17142857142857143,0.5714285714285714,3.096885611708599,280
201902211610,222.63775427448172,1516025.3879774525,282555.01348953205,3300738.02835025,0.17028985507246377,0.5905797101449275,2.914128461345104,276
201902211700,189.0561956161632,1543999.5215643975,323760.68074737914,3300738.02835025,0.09202453987730061,0.46932515337423314,2.9393392609914923,326
201902211710,188.44186349341936,1502801.3732469662,323760.68074737914,3300738.02835025,0.12883435582822086,0.4539877300613497,2.8330871961321877,326
201902221020,182.797976948808,1470366.479104169,323760.68074737914,3300738.02835025,0.06756756756756757,0.44054054054054054,3.334358988195733,740
201902221200,186.9216302820116,1431806.9478089425,282555.01348953205,3300738.02835025,0.23809523809523808,0.3880952380952381,3.0298625000155495,420
201902221210,191.65043234374068,1665308.2202277859,282555.01348953205,3300738.02835025,0.15825688073394495,0.44724770642201833,3.698415095182396,436
201902221400,166.71957072434003,1472373.2400151505,282555.01348953205,3300738.02835025,0.11541027351567712,0.5770513675783856,3.050351314237605,1499
201902221410,224.15000208664927,1077441.3628734169,282555.01348953205,3300738.02835025,0.48642533936651583,0.2986425339366516,3.6812429672443887,442
201902221600,202.8169713266635,1917915.8961612144,282555.01348953205,3300738.02835025,0.09090909090909091,0.6797520661157025,3.794414146707458,484
201902221610,194.256765692108,1594288.9003813134,282555.01348953205,3300738.02835025,0.19346049046321526,0.6130790190735694,3.1060405487830405,367
201902231200,180.3453370447633,1531588.208619067,282555.01348953205,3300738.02835025,0.1619718309859155,0.4612676056338028,3.1356065989522666,852
201902251200,227.73592982079649,1762333.349957606,323760.68074737914,3300738.02835025,0.06818181818181818,0.6477272727272727,3.7911858670706775,176
201903011010,180.5065035051458,1409743.6163520236,282555.01348953205,3300738.02835025,0.24612202688728024,0.44881075491209926,3.248069191598622,967
201903011020,171.3858418692158,1411463.5142286401,282555.01348953205,3300738.02835025,0.24613800205973224,0.4490216271884655,3.057707205528218,971
201903011600,170.05798414279985,1653674.06600062,282555.01348953205,3300738.02835025,0.09946524064171124,0.546524064171123,3.1435697377200023,935
201903021410,196.8244057047964,1811592.152405725,323760.68074737914,3300738.02835025,0.0375,0.525,4.014526119479469,80
201903021610,219.47865275775268,1122740.5017626528,282555.01348953205,3300738.02835025,0.29339477726574503,0.2857142857142857,2.7651270203540763,651
201903041020,216.6872077992745,1612759.3021428727,282555.01348953205,3300738.02835025,0.14766839378238342,0.5984455958549223,2.9076149379526135,386
201903041600,173.10278488938678,1509381.868402241,282555.01348953205,3300738.02835025,0.1383495145631068,0.4975728155339806,2.8886130332068505,824
201903061400,152.05307453623115,1425867.8099837797,282555.01348953205,3300738.02835025,0.1676750216076059,0.4442523768366465,2.8463959209240977,1157
201903061410,146.0251570075289,1783897.5126713535,282555.01348953205,3300738.02835025,0.12705272255834055,0.6318063958513397,2.9001188167970784,1157
201903061610,242.3320610941378,1872228.110449649,475166.8318043916,3300738.02835025,0.0,0.6043956043956044,2.979075372727639,91
201903081400,207.6205176751189,1443152.8383045692,282555.01348953205,3300738.02835025,0.10337552742616034,0.43248945147679324,2.7966082725768526,474
201903081410,206.22048175401167,1445139.9635111806,282555.01348953205,3300738.02835025,0.1014799154334038,0.4312896405919662,2.741976352262748,473
201903081610,158.60666239621892,1374264.3968713006,282555.01348953205,3300738.02835025,0.1926751592356688,0.3375796178343949,3.384614710674546,628
201903091010,141.34724630845744,1346541.9574553194,282555.01348953205,3300738.02835025,0.0881057268722467,0.413215859030837,2.7656108428138144,1135
201903091200,178.6001780924323,1295541.092484609,282555.01348953205,3300738.02835025,0.20577617328519857,0.4259927797833935,3.2078851183708514,277
201903091210,176.66176960315448,1308732.0242865395,282555.01348953205,3300738.02835025,0.20430107526881722,0.4910394265232975,2.725759837555425,279
201903091410,178.02812703411507,1471178.5341049342,282555.01348953205,3300738.02835025,0.11219512195121951,0.474390243902439,3.452372430780094,820
201903091600,205.150399667536,1983076.4219133582,323760.68074737914,3300738.02835025,0.014084507042253521,0.6408450704225352,4.378491241036898,284
201903111400,188.67880209033868,1236709.2652387116,282555.01348953205,3300738.02835025,0.20922570016474465,0.28500823723228996,2.921395460289436,607
201903181610,179.35191984576375,1337940.9267276304,323760.68074737914,3300738.02835025,0.25766871165644173,0.5306748466257669,3.1557980071580176,326
201903201010,139.46006599765448,1665971.3555259933,282555.01348953205,3300738.02835025,0.1191919191919192,0.5080808080808081,3.072837882412901,990
201903201020,132.0712599201389,1692424.041519064,282555.01348953205,3300738.02835025,0.10393541876892028,0.5327951564076691,2.964414071659603,991
201903211400,191.3160023200556,886180.0096228324,282555.01348953205,3300738.02835025,0.5769230769230769,0.22879684418145957,3.7434401979296377,1014
201903211410,175.37602351848523,946031.9715925228,323760.68074737914,3300738.02835025,0.5382231404958677,0.22830578512396693,3.5446624154986863,968
