trajectory_id,distwall,zone_area_mean,zone_area_min,zone_area_max,pct_small_zone,pct_large_zone,passage_width_mean,n_points,duration,speed,nb_items,nb_stops,length,curvature,avg_observation_time,stop_intensity,dist_window_mean,dist_window_min,pct_near_window
201902181020,186.9480682976089,1198047.3060621133,323760.68074737914,3300738.02835025,0.3258706467661691,0.2587064676616915,3.1578611228378417,402,3704.0,17.244834308869148,116.0,56,63729.78957966487,0.0387827998289052,11.438786285714285,0.9071274297909212,2426.691940064099,4.6044533582262375,0.05970149253731343
201902181200,167.64951226778817,1677845.4319034752,282555.01348953205,3300738.02835025,0.1123417721518987,0.555379746835443,3.4438660208133176,632,2948.0,32.33411159824665,95.0,42,95257.54412785216,0.1749055236637031,16.366055653846153,0.8548168249486808,1921.42000716509,270.9462754049272,0.0
201902181210,171.2666852720773,1667628.3036753957,282555.01348953205,3300738.02835025,0.1125198098256735,0.5404120443740095,3.5110856956165137,631,2948.0,32.79373720971958,96.0,39,96566.81895780108,0.1445223443731352,16.362285629629625,0.7937584803094894,1925.5924881301457,296.9091810668957,0.0
201902181410,166.74566364087696,1323993.2244573869,282555.01348953205,3300738.02835025,0.286634460547504,0.3526570048309179,3.1361292864495742,621,3696.0,24.98819984089513,237.0,79,92159.27819107928,0.0298003360989065,9.13915685074627,1.2824675324467132,2138.451937577806,2.1568242414246015,0.0853462157809984
201902181600,209.2523252087157,1505832.2211173165,282555.01348953205,3300738.02835025,0.1493411420204978,0.452415812591508,3.35456957931008,683,4836.0,18.14853408873108,196.0,92,87735.32479363261,0.1118750200912407,10.032274465116233,1.141439205941173,2160.893111694342,255.82653545450836,0.0
201902181610,162.55242036635985,1356463.1125961735,282555.01348953205,3300738.02835025,0.2890625,0.40625,3.4499937357152834,128,1026.0,61.32404419016667,51.0,6,62672.58991812715,0.0109033845267428,6.556555099999999,0.350877192961937,2038.2035734258584,576.5762176445195,0.0
201902201020,157.1591888123026,1776437.40094155,282555.01348953205,3300738.02835025,0.0917159763313609,0.5976331360946746,3.1622127718356428,338,674.0,37.91136387000431,9.0,11,25413.725523225214,0.3881174985177794,26.06397175,0.9792284865597126,1394.1162198065456,0.6034547452313745,0.23964497041420119
201902201210,210.50493509833743,1556712.0807524298,282555.01348953205,3300738.02835025,0.1617357001972386,0.4911242603550296,3.613879150071068,507,2942.0,34.20752638991848,189.0,50,100696.86340253722,0.0264327659932859,9.919159024999994,1.019714479924819,1937.7294205562018,15.557739387720176,0.029585798816568046
201902201400,177.87362560536272,1343023.925833003,282555.01348953205,3300738.02835025,0.1922753988245172,0.4214945424013434,2.9919842067738838,1191,4594.0,19.690566404199487,187.0,79,90188.7237463006,0.2696652686593996,18.15668323529413,1.0317805833561369,2016.576110040174,104.98078382025734,0.06968933669185558
201902201410,179.87984872203717,1376159.4276226696,282555.01348953205,3300738.02835025,0.0950782997762863,0.2885906040268456,2.9093588100937557,894,4530.0,25.929521497964387,201.0,73,117468.83766066958,0.0408750923687004,50.70715169491527,0.9668874172057366,2316.319236187489,228.72398375178634,0.0145413870246085
201902201600,160.46273808569958,1140324.6794323549,282555.01348953205,3300738.02835025,0.2198952879581152,0.2582897033158813,2.724295532846301,573,2662.0,35.58923845797393,164.0,38,94571.11440846548,0.0198136175775403,13.593557314814817,0.8564988730084937,2339.1814986774043,376.99633562875863,0.0
201902201610,167.0322792204622,1280002.8864092173,282555.01348953205,3300738.02835025,0.1478439425051334,0.2607802874743326,2.9961461873978217,487,2632.0,33.0320308427837,196.0,33,86894.12683203378,0.0241111873092423,9.869145079999988,0.7522796352412094,2561.1052892884227,494.423666201103,0.0
201902211210,158.7641260774725,1418780.7738370886,282555.01348953205,3300738.02835025,0.2235897435897436,0.518974358974359,2.86414911015264,975,3992.0,26.614098841603337,271.0,74,105978.69586781888,0.0296897472440679,17.31547883516485,1.1122244488810789,2018.145744617147,178.19615583888464,0.0071794871794871795
201902211400,190.22298481146623,1300786.2909142154,282555.01348953205,3300738.02835025,0.1868327402135231,0.3451957295373665,2.748119266334668,562,3086.0,25.623708334962167,211.0,61,78996.64467276337,0.0326418643015968,12.645295539682564,1.1860012961532211,2266.791738523743,24.822326238691403,0.03202846975088968
201902211600,226.64502482821592,1479010.4591191332,282555.01348953205,3300738.02835025,0.1714285714285714,0.5714285714285714,3.096885611708599,280,1550.0,33.39456111783569,76.0,22,51768.378348156446,0.0740232364891776,9.307678875000002,0.8516129031928408,1630.6738781659294,25.07518877560551,0.06428571428571428
201902211610,222.6377542744817,1516025.3879774525,282555.01348953205,3300738.02835025,0.1702898550724637,0.5905797101449275,2.914128461345104,276,1560.0,32.95252353821152,61.0,25,51230.06318333809,0.0267649227165762,9.777832076923085,0.9615384615014791,1696.3857095816725,6.779537928628088,0.03985507246376811
201902211700,189.0561956161632,1543999.5215643975,323760.68074737914,3300738.02835025,0.0920245398773006,0.4693251533742331,2.9393392609914923,326,2442.0,31.077762845205942,117.0,33,75687.19831001882,0.0266743422759554,9.095961333333348,0.8108108107908892,1606.568055179605,18.59553322126726,0.04294478527607362
201902211710,188.44186349341936,1502801.3732469662,323760.68074737914,3300738.02835025,0.1288343558282208,0.4539877300613497,2.833087196132188,326,2444.0,34.520007493071326,102.0,36,84252.69885470674,0.0387314876227558,6.628446583333324,0.8837970539881229,1600.5023978294644,8.931163484969147,0.06441717791411043
201902221020,182.797976948808,1470366.479104169,323760.68074737914,3300738.02835025,0.0675675675675675,0.4405405405405405,3.334358988195733,740,4686.0,16.733707464784157,112.0,57,78392.78867121338,0.0818763669871237,20.71488548648647,0.7298335467256103,2059.9690365889737,2.3732565386635542,0.02702702702702703
201902221200,186.9216302820116,1431806.9478089423,282555.01348953205,3300738.02835025,0.238095238095238,0.3880952380952381,3.029862500015549,420,3392.0,21.62541733376934,143.0,63,73122.57164734762,0.0538143118044021,11.2015367142857,1.1143867924331183,2497.3447879957,552.877834185358,0.0
201902221210,191.65043234374068,1665308.220227786,282555.01348953205,3300738.02835025,0.1582568807339449,0.4472477064220183,3.698415095182396,436,3466.0,23.84349746947884,131.0,61,82353.48125876008,0.0629709646028121,12.406444578947378,1.0559723023475598,2311.7689866413643,615.3034993657906,0.0
201902221400,166.71957072434003,1472373.2400151505,282555.01348953205,3300738.02835025,0.1154102735156771,0.5770513675783856,3.050351314237605,1499,5096.0,26.73454193965413,171.0,78,136122.00804394702,0.0381155349362761,20.34034124691358,0.9183673469279626,1903.527343052582,8.901876182500928,0.04269513008672448
201902221410,224.15000208664927,1077441.3628734169,282555.01348953205,3300738.02835025,0.4864253393665158,0.2986425339366516,3.6812429672443887,442,4428.0,15.147104419728445,179.0,71,66855.04938546343,0.5777339912400187,7.1082546999999945,0.96205962058317,2647.2513751900515,196.36238969182807,0.004524886877828055
201902221600,202.8169713266635,1917915.8961612144,282555.01348953205,3300738.02835025,0.0909090909090909,0.6797520661157025,3.794414146707458,484,3384.0,29.13160344603115,195.0,48,98426.04788780984,0.0425004983279891,13.439834684210522,0.8510638297721443,1975.8448391314957,246.21116524062668,0.004132231404958678
201902221610,194.256765692108,1594288.9003813134,282555.01348953205,3300738.02835025,0.1934604904632152,0.6130790190735694,3.1060405487830405,367,3148.0,26.8221749015935,179.0,64,84280.41480644875,0.0167568132505327,13.028902571428564,1.2198221092524812,2026.5897764208696,140.65054003911817,0.021798365122615803
201902231200,180.3453370447633,1531588.208619067,282555.01348953205,3300738.02835025,0.1619718309859155,0.4612676056338028,3.1356065989522666,852,3398.0,25.869496920887723,194.0,59,87636.28664874024,0.0264895861088718,11.597144761904747,1.041789287797967,1870.182861840806,3.6150131219077535,0.07981220657276995
201902251200,227.73592982079649,1762333.349957606,323760.68074737914,3300738.02835025,0.0681818181818181,0.6477272727272727,3.7911858670706775,176,4064.0,18.58729753769681,169.0,77,75222.05251141643,0.035447734566602,5.621793199999956,1.1368110236052635,1658.31668943488,225.69661420998685,0.05113636363636364
201903011010,180.5065035051458,1409743.6163520236,282555.01348953205,3300738.02835025,0.2461220268872802,0.4488107549120992,3.248069191598622,967,4580.0,19.862313524904625,114.0,74,90880.19806126835,0.0567365501797509,20.780987064516115,0.9694323143977804,2041.7571215895332,10.087022626086002,0.016546018614270942
201903011020,171.3858418692158,1411463.51422864,282555.01348953205,3300738.02835025,0.2461380020597322,0.4490216271884655,3.057707205528218,971,4584.0,21.403963448201715,108.0,72,97817.52682219296,0.0738526246541251,19.867372580645164,0.9424083769510156,2028.5816864784506,5.4396531932179,0.027806385169927908
201903011600,170.05798414279985,1653674.06600062,282555.01348953205,3300738.02835025,0.0994652406417112,0.546524064171123,3.1435697377200023,935,3482.0,21.454346397508846,156.0,66,74517.48859430538,0.0367038903562905,11.231912576923078,1.1372774267466297,1714.040634110525,12.774261926112402,0.10695187165775401
201903021410,196.8244057047964,1811592.152405725,323760.68074737914,3300738.02835025,0.0375,0.525,4.014526119479469,80,4808.0,12.328076609777812,116.0,65,58890.24689574553,0.053689805938329,9.739853999999468,0.8111480865123399,1323.8810812265078,495.99059532733787,0.0
201903021610,219.47865275775268,1122740.5017626528,282555.01348953205,3300738.02835025,0.293394777265745,0.2857142857142857,2.7651270203540763,651,5590.0,18.48911754106158,237.0,94,103351.0351617177,0.1036084402766351,14.134790722222128,1.0089445438174351,2428.0496731660114,22.50437112360987,0.05222734254992319
201903041020,216.6872077992745,1612759.3021428727,282555.01348953205,3300738.02835025,0.1476683937823834,0.5984455958549223,2.907614937952613,386,4280.0,24.54209663515486,193.0,74,104727.23350154738,0.0531508849641764,10.984130749999906,1.0373831775555509,1666.9838166981415,7.976894515378429,0.07512953367875648
201903041600,173.10278488938678,1509381.868402241,282555.01348953205,3300738.02835025,0.1383495145631068,0.4975728155339806,2.8886130332068505,824,3142.0,32.333189356833685,178.0,60,101341.34516937046,0.0180935585212064,9.26994569014085,1.1457670273492215,1751.9188018551595,1.933914944430171,0.125
201903061400,152.05307453623115,1425867.8099837797,282555.01348953205,3300738.02835025,0.1676750216076059,0.4442523768366465,2.8463959209240977,1157,3736.0,19.5629126163678,122.0,63,72930.30792424353,0.0289581155454654,12.302607012345684,1.0117773019109455,2030.9063108979778,211.32608167415617,0.012100259291270527
201903061410,146.0251570075289,1783897.5126713535,282555.01348953205,3300738.02835025,0.1270527225583405,0.6318063958513397,2.9001188167970784,1157,4920.0,18.881831956493105,131.0,71,92677.44310265976,0.1610731775921327,17.287109187499997,0.8658536585260261,1679.7003745299658,169.58062058787735,0.007778738115816767
201903061610,242.3320610941378,1872228.110449649,475166.8318043916,3300738.02835025,0.0,0.6043956043956044,2.979075372727639,91,4226.0,20.285439380262204,193.0,79,85735.3365516643,0.040264378682376,13.526166999999989,1.1216280170214628,656.247757679999,178.27729074015397,0.06593406593406594
201903081400,207.6205176751189,1443152.8383045692,282555.01348953205,3300738.02835025,0.1033755274261603,0.4324894514767932,2.7966082725768526,474,2062.0,30.17539128300728,105.0,41,61967.19118091839,0.0259162499941545,9.388503657894734,1.1930164888110666,1786.9330949847918,1.0508646886005408,0.029535864978902954
201903081410,206.22048175401167,1445139.9635111806,282555.01348953205,3300738.02835025,0.1014799154334038,0.4312896405919662,2.741976352262748,473,2062.0,30.496374561185004,116.0,36,62625.16772734961,0.0247699432183223,10.100580749999985,1.0475266731024,1764.4524703948953,7.623046423600272,0.05708245243128964
201903081610,158.60666239621892,1374264.3968713006,282555.01348953205,3300738.02835025,0.1926751592356688,0.3375796178343949,3.384614710674546,628,2186.0,29.5571830589672,97.0,31,64469.325521365216,0.0389472134794673,31.37314436734693,0.8508691674057403,2373.5211299501166,57.098780249508316,0.01592356687898089
201903091010,141.34724630845744,1346541.9574553194,282555.01348953205,3300738.02835025,0.0881057268722467,0.413215859030837,2.7656108428138144,1135,3768.0,14.566135246230312,69.0,54,54660.3331070345,0.0519631511983102,50.86080504347827,0.859872611451276,1813.203621088519,9.130271642188639,0.06079295154185022
201903091200,178.6001780924323,1295541.092484609,282555.01348953205,3300738.02835025,0.2057761732851985,0.4259927797833935,3.2078851183708514,277,2982.0,32.66631731765516,161.0,53,97118.97662139402,0.0624237524182482,6.259029809523789,1.0663983903205956,2404.5726620394103,510.3889797259619,0.0
201903091210,176.66176960315448,1308732.0242865395,282555.01348953205,3300738.02835025,0.2043010752688172,0.4910394265232975,2.725759837555425,279,2990.0,31.855418959723504,140.0,52,94979.85081576787,0.033465613612156,8.279946111111132,1.043478260848626,2049.1476839234624,592.8569673788127,0.0
201903091410,178.02812703411507,1471178.5341049342,282555.01348953205,3300738.02835025,0.1121951219512195,0.474390243902439,3.452372430780094,820,4214.0,19.449642575016405,135.0,70,81715.29828917944,0.0378253161169196,18.64330872727275,0.9966777408495964,1904.3530918675403,15.505916617645878,0.07317073170731707
201903091600,205.150399667536,1983076.4219133584,323760.68074737914,3300738.02835025,0.0140845070422535,0.6408450704225352,4.378491241036898,284,2400.0,30.76509906157523,119.0,45,73774.6501236339,0.0114338313302699,12.428927400000038,1.1249999999718752,994.438911576496,4.446752035285954,0.13732394366197184
201903111400,188.67880209033868,1236709.2652387116,282555.01348953205,3300738.02835025,0.2092257001647446,0.2850082372322899,2.921395460289436,607,3588.0,33.08266866948699,224.0,50,118636.25194664524,0.0249486399521418,14.197355854166654,0.8361204013238108,2504.310983033905,578.9495645591295,0.0
201903181610,179.35191984576375,1337940.9267276304,323760.68074737914,3300738.02835025,0.2576687116564417,0.5306748466257669,3.1557980071580176,326,2890.0,24.64272417362217,110.0,58,71036.20115961113,0.0204071614085824,8.97769376923077,1.2041522491099486,2294.969313512472,586.4530359077279,0.0
201903201010,139.46006599765448,1665971.3555259933,282555.01348953205,3300738.02835025,0.1191919191919192,0.5080808080808081,3.072837882412901,990,3628.0,16.034010381550782,71.0,55,58025.57408158322,0.050527474833136,20.26301163333336,0.9095920617269636,1751.4884583143694,0.1349687495089711,0.07272727272727272
201903201020,132.0712599201389,1692424.041519064,282555.01348953205,3300738.02835025,0.1039354187689202,0.5327951564076691,2.964414071659603,991,3632.0,16.18825114031049,90.0,58,58582.53836363254,0.1177850504838531,13.806519022222243,0.9581497797198544,1687.486821115372,1.7117331514016187,0.08678102926337034
201903211400,191.3160023200556,886180.0096228324,282555.01348953205,3300738.02835025,0.5769230769230769,0.2287968441814595,3.7434401979296377,1014,3188.0,30.33672713206904,85.0,29,96548.18485025287,0.2403740914980652,10.19151775999999,0.5457967377563526,2975.267223294372,4.790410560694906,0.03254437869822485
201903211410,175.37602351848523,946031.9715925228,323760.68074737914,3300738.02835025,0.5382231404958677,0.2283057851239669,3.5446624154986863,968,3116.0,30.6751098669646,86.0,21,95534.77146279025,0.2061276635295502,7.34778590000001,0.4043645699537029,2889.160754351318,5.148004002475545,0.05268595041322314
